Salem-Spencer Search (parallel Go implementation, 28 workers)
N | Size | Count | Total time | Unit time
:-: | :-: | :-: | :-: | :-:
1 | 1 | 1 | 129.708µs | 116.333µs
2 | 2 | 1 | 376.541µs | 130.291µs
3 | 2 | 3 | 829.083µs | 181.792µs
4 | 3 | 2 | 924.708µs | 32.083µs
5 | 4 | 1 | 1.053416ms | 46.375µs
6 | 4 | 4 | 1.150291ms | 45.541µs
7 | 4 | 10 | 1.230625ms | 38.5µs
8 | 4 | 25 | 1.3195ms | 49.75µs
9 | 5 | 4 | 1.402333ms | 42.208µs
10 | 5 | 24 | 1.535666ms | 90.708µs
11 | 6 | 7 | 1.640583ms | 61.958µs
12 | 6 | 25 | 1.75525ms | 70µs
13 | 7 | 6 | 1.888541ms | 73.5µs
14 | 8 | 1 | 2.067416ms | 119.125µs
15 | 8 | 4 | 2.23175ms | 105.417µs
16 | 8 | 14 | 2.5005ms | 203.959µs
17 | 8 | 43 | 3.058458ms | 340.583µs
18 | 8 | 97 | 3.573958ms | 419.292µs
19 | 8 | 220 | 4.313958ms | 582.417µs
20 | 9 | 2 | 5.413791ms | 996.041µs
21 | 9 | 18 | 6.334ms | 813.292µs
22 | 9 | 62 | 8.402ms | 1.958959ms
23 | 9 | 232 | 9.558041ms | 1.032333ms
24 | 10 | 2 | 11.00525ms | 1.372292ms
25 | 10 | 33 | 12.335166ms | 1.11475ms
26 | 11 | 2 | 13.678125ms | 1.2275ms
27 | 11 | 12 | 15.379041ms | 1.595875ms
28 | 11 | 36 | 17.42525ms | 1.81875ms
29 | 11 | 106 | 21.112208ms | 3.216042ms
30 | 12 | 1 | 24.037708ms | 2.798875ms
31 | 12 | 11 | 27.457375ms | 3.265584ms
32 | 13 | 2 | 31.361416ms | 3.760833ms
33 | 13 | 4 | 35.757083ms | 4.26575ms
34 | 13 | 14 | 42.870125ms | 6.963042ms
35 | 13 | 40 | 50.186666ms | 7.217625ms
36 | 14 | 2 | 57.548125ms | 7.270667ms
37 | 14 | 4 | 67.840916ms | 10.190791ms
38 | 14 | 86 | 80.020875ms | 12.098292ms
39 | 14 | 307 | 100.26875ms | 19.862292ms
40 | 15 | 20 | 120.510208ms | 20.172667ms
41 | 16 | 1 | 143.273041ms | 22.685208ms
42 | 16 | 4 | 175.842333ms | 32.500625ms
43 | 16 | 14 | 222.582583ms | 46.405208ms
44 | 16 | 41 | 288.262166ms | 65.59725ms
45 | 16 | 99 | 385.526583ms | 97.162ms
46 | 16 | 266 | 526.874583ms | 141.112667ms
47 | 16 | 674 | 728.680666ms | 201.703416ms
48 | 16 | 1505 | 1.018437583s | 289.654917ms
49 | 16 | 3510 | 1.4157375s | 397.21525ms
50 | 16 | 7726 | 1.988024375s | 571.853917ms
51 | 17 | 14 | 2.626333083s | 637.859875ms
52 | 17 | 50 | 3.503847291s | 877.365583ms
53 | 17 | 156 | 4.742706833s | 1.238305375s
54 | 18 | 2 | 6.158076958s | 1.415195167s
55 | 18 | 8 | 8.113767958s | 1.955166s
56 | 18 | 26 | 10.808970666s | 2.694728833s
57 | 18 | 56 | 14.509234458s | 3.700076625s
58 | 19 | 2 | 18.810200666s | 4.300821958s
59 | 19 | 4 | 24.699542375s | 5.889175375s
60 | 19 | 6 | 32.751560125s | 8.051394334s
61 | 19 | 14 | 43.7095685s | 10.957376042s
62 | 19 | 48 | 58.649896125s | 14.939826334s
63 | 20 | 2 | 1m16.548214708s | 17.897870125s
64 | 20 | 4 | 1m40.55766825s | 24.008834875s
65 | 20 | 8 | 2m11.976299s | 31.41795675s
66 | 20 | 16 | 2m54.857696291s | 42.880806291s
67 | 20 | 28 | 3m52.782071833s | 57.923620083s
68 | 20 | 108 | 5m11.9285985s | 1m19.145758209s
69 | 20 | 319 | 6m59.579418208s | 1m47.650120542s
70 | 20 | 1046 | 9m25.516621708s | 2m25.9363665s
71 | 21 | 4 | 12m11.734664875s | 2m46.217596167s
72 | 21 | 26 | 15m53.113051291s | 3m41.378071541s
73 | 21 | 82 | 20m52.190396666s | 4m59.076871541s
74 | 22 | 1 | 27m6.969124708s | 6m14.778121583s
75 | 22 | 2 | 37m14.299928291s | 10m7.3302585s
76 | 22 | 13 | 47m21.351024875s | 10m7.0505095s
77 | 22 | 63 | 1h0m45.880366333s | 13m24.528732917s
78 | 22 | 188 | 1h19m10.265615833s | 18m24.384650458s
79 | 22 | 635 | 1h52m40.787385166s | 33m30.521255791s
80 | 22 | 2148 | 2h39m37.806427625s | 46m57.01822975s
81 | 22 | 5196 | 3h37m42.401074458s | 58m4.593891792s
82 | 23 | 10 | 4h25m41.319314916s | 47m58.917589375s
83 | 23 | 84 | 5h29m8.850587666s | 1h3m27.530585666s
84 | 24 | 1 | 6h39m54.931274041s | 1h10m46.079847625s
